N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
250.000000,0.000099,0.000105,0.000044,0.000077,0.000140,0.000027,0.000025,0.000030,0.000023,0.000096,0.000117,0.000042,0.000038,0.003621,0.000003,0.000003,0.000031,0.000002,0.000001,0.000027,0.000001,0.000017
500.000000,0.000306,0.000329,0.000071,0.000107,0.000532,0.000059,0.000057,0.000054,0.000051,0.000157,0.000419,0.000090,0.000124,0.016930,0.000005,0.000005,0.000120,0.000003,0.000001,0.000103,0.000001,0.000072
750.000000,0.000683,0.000714,0.000111,0.000169,0.001308,0.000094,0.000046,0.000065,0.000064,0.000269,0.000979,0.000137,0.000262,0.047652,0.000008,0.000007,0.000267,0.000009,0.000002,0.000253,0.000002,0.000182
1000.000000,0.001186,0.001371,0.000140,0.000225,0.002598,0.000154,0.000084,0.000086,0.000093,0.000399,0.001794,0.000202,0.000474,0.096936,0.000013,0.000010,0.000475,0.000009,0.000003,0.000525,0.000003,0.000326
1250.000000,0.001880,0.002011,0.000182,0.000292,0.003805,0.000174,0.000107,0.000104,0.000083,0.000557,0.003082,0.000289,0.000695,0.176760,0.000015,0.000013,0.000736,0.000009,0.000003,0.000914,0.000003,0.000587
1500.000000,0.002674,0.002875,0.000232,0.000340,0.005667,0.000217,0.000175,0.000108,0.000128,0.000758,0.004393,0.000316,0.000983,0.282312,0.000017,0.000015,0.001060,0.000018,0.000004,0.001444,0.000003,0.000925
1750.000000,0.003638,0.003728,0.000261,0.000389,0.008045,0.000252,0.000155,0.000115,0.000152,0.000953,0.005709,0.000384,0.001392,0.443050,0.000020,0.000017,0.001461,0.000016,0.000004,0.002069,0.000004,0.001360
2000.000000,0.004734,0.004846,0.000318,0.000437,0.010609,0.000307,0.000177,0.000147,0.000149,0.001110,0.007750,0.000455,0.001709,0.654646,0.000024,0.000023,0.001860,0.000016,0.000005,0.002852,0.000005,0.001765
2250.000000,0.005989,0.006519,0.000355,0.000502,0.013799,0.000379,0.000190,0.000159,0.000156,0.001369,0.010316,0.000575,0.002154,0.890889,0.000023,0.000025,0.002357,0.000027,0.000005,0.003799,0.000005,0.002449
2500.000000,0.007708,0.008144,0.000395,0.000550,0.017374,0.000411,0.000179,0.000207,0.000229,0.001671,0.012796,0.000630,0.002670,1.233873,0.000026,0.000026,0.002877,0.000018,0.000007,0.005722,0.000007,0.002903
2750.000000,0.008901,0.010055,0.000472,0.000621,0.021146,0.000460,0.000240,0.000329,0.000270,0.002002,0.016276,0.000705,0.003188,1.636748,0.000037,0.000028,0.003488,0.000062,0.000007,0.005793,0.000011,0.003592
3000.000000,0.010801,0.011682,0.000484,0.000677,0.025912,0.000564,0.000199,0.000231,0.000201,0.002302,0.019579,0.000764,0.003959,2.106823,0.000136,0.000037,0.004128,0.000025,0.000007,0.007172,0.000010,0.004245
3250.000000,0.013139,0.014936,0.000538,0.000776,0.033956,0.002326,0.000281,0.000266,0.000279,0.002457,0.023287,0.000783,0.004455,2.678672,0.000034,0.000033,0.004900,0.000049,0.000008,0.008625,0.000009,0.005186
3500.000000,0.015443,0.017772,0.000585,0.000793,0.036205,0.000603,0.000288,0.000241,0.000258,0.002775,0.028141,0.000870,0.005589,3.410701,0.000040,0.000036,0.005806,0.000060,0.000009,0.010763,0.000013,0.007034
3750.000000,0.018826,0.020981,0.000622,0.000860,0.045854,0.000741,0.000271,0.000255,0.000397,0.003192,0.032613,0.001072,0.006011,4.113155,0.000038,0.000038,0.006108,0.000053,0.000009,0.011838,0.000009,0.007277
4000.000000,0.019807,0.022169,0.000664,0.001155,0.054134,0.000733,0.000269,0.000313,0.000312,0.003804,0.039591,0.001052,0.006943,4.927829,0.000036,0.000037,0.007482,0.000061,0.000009,0.013899,0.000010,0.008772
