N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
500.000000,0.000361,0.000391,0.000089,0.000116,0.000541,0.000060,0.000053,0.000049,0.000065,0.000161,0.000377,0.000089,0.000117,0.000006,0.000005,0.000006,0.000147,0.000003,0.000002,0.000113,0.000001,0.000073
1000.000000,0.001196,0.001259,0.000248,0.000236,0.002491,0.000141,0.000078,0.000084,0.000251,0.000386,0.001802,0.000201,0.000459,0.000009,0.000007,0.000009,0.000491,0.000006,0.000002,0.000451,0.000002,0.000313
1500.000000,0.002660,0.002905,0.000310,0.000340,0.005614,0.000219,0.000105,0.000163,0.000201,0.000741,0.004256,0.000400,0.000989,0.000015,0.000014,0.000015,0.001060,0.000009,0.000004,0.001421,0.000003,0.000865
2000.000000,0.004563,0.004774,0.000430,0.000441,0.010538,0.000312,0.000231,0.000153,0.000326,0.001140,0.007588,0.000440,0.001706,0.000020,0.000019,0.000020,0.001832,0.000013,0.000005,0.002839,0.000003,0.001911
2500.000000,0.007489,0.007960,0.000431,0.000563,0.017275,0.000420,0.000293,0.000233,0.000337,0.001616,0.012878,0.000571,0.002753,0.000028,0.000022,0.000026,0.002895,0.000015,0.000007,0.004604,0.000003,0.002714
3000.000000,0.010538,0.011272,0.000538,0.000671,0.027363,0.000634,0.000326,0.000235,0.000252,0.002211,0.019396,0.000760,0.003795,0.000032,0.000025,0.000029,0.004058,0.000019,0.000008,0.006939,0.000004,0.004283
3500.000000,0.015288,0.016990,0.000577,0.000778,0.036553,0.000790,0.000302,0.000227,0.000408,0.002891,0.026571,0.000905,0.005207,0.000032,0.000031,0.000035,0.005337,0.000020,0.000008,0.010025,0.000006,0.005900
4000.000000,0.019311,0.021022,0.000666,0.000955,0.049027,0.000726,0.000387,0.000337,0.000414,0.003599,0.035346,0.001387,0.006693,0.000070,0.000020,0.000039,0.007520,0.000035,0.000009,0.013705,0.000006,0.008250
4500.000000,0.025198,0.031861,0.000776,0.001007,0.061935,0.000894,0.000453,0.000460,0.000498,0.004546,0.045559,0.001304,0.008506,0.000055,0.000040,0.000045,0.009361,0.000028,0.000011,0.019066,0.000006,0.011200
5000.000000,0.031962,0.035974,0.000872,0.001124,0.078738,0.001178,0.000368,0.000499,0.000502,0.005686,0.058621,0.001455,0.011956,0.000139,0.000059,0.000058,0.015813,0.000100,0.000015,0.031278,0.000008,0.019771
5500.000000,0.043787,0.048686,0.000966,0.001270,0.103314,0.001272,0.000514,0.000722,0.001801,0.006166,0.070805,0.001510,0.012845,0.000048,0.000054,0.000055,0.014060,0.000065,0.000013,0.029891,0.000014,0.018185
6000.000000,0.045327,0.051415,0.001053,0.001727,0.115535,0.001262,0.000434,0.000562,0.000515,0.007582,0.085713,0.001781,0.014917,0.000232,0.000098,0.000066,0.016234,0.000213,0.000014,0.037110,0.000011,0.023036
6500.000000,0.059865,0.061009,0.001128,0.001465,0.135584,0.001535,0.000650,0.000702,0.000594,0.008599,0.101865,0.001892,0.017441,0.000076,0.000040,0.000124,0.019697,0.000184,0.000022,0.045866,0.000009,0.025788
7000.000000,0.062734,0.070670,0.001234,0.001587,0.159665,0.001584,0.000634,0.000452,0.000553,0.009509,0.128912,0.003374,0.022977,0.000074,0.000039,0.000069,0.022592,0.000101,0.000015,0.054482,0.000010,0.036139
7500.000000,0.072839,0.081847,0.001586,0.001867,0.179917,0.001824,0.000609,0.000469,0.000784,0.011226,0.136403,0.002343,0.023438,0.000085,0.000043,0.000074,0.025212,0.000125,0.000018,0.064972,0.000010,0.038104
8000.000000,0.080614,0.092650,0.001475,0.001873,0.207686,0.001813,0.000805,0.000598,0.000714,0.012835,0.153732,0.002345,0.026627,0.000080,0.000057,0.000079,0.029899,0.000095,0.000020,0.075146,0.000013,0.042960
