N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
500.000000,0.000323,0.000337,0.000073,0.000100,0.000504,0.000060,0.000072,0.000046,0.000049,0.000147,0.000436,0.000091,0.000120,0.000007,0.000004,0.000005,0.000120,0.000003,0.000001,0.000103,0.000001,0.000073
1000.000000,0.001246,0.001283,0.000156,0.000188,0.002374,0.000146,0.000066,0.000079,0.000094,0.000340,0.001836,0.000204,0.000439,0.000011,0.000011,0.000012,0.000480,0.000010,0.000002,0.000485,0.000002,0.000375
1500.000000,0.002689,0.002825,0.000228,0.000276,0.005639,0.000211,0.000141,0.000144,0.000140,0.000670,0.004063,0.000338,0.000991,0.000014,0.000013,0.000016,0.001049,0.000008,0.000004,0.001420,0.000003,0.000953
2000.000000,0.005020,0.004812,0.000327,0.000348,0.010384,0.000329,0.000191,0.000134,0.000131,0.001039,0.007825,0.000477,0.001758,0.000019,0.000018,0.000021,0.001967,0.000022,0.000005,0.002767,0.000004,0.001859
2500.000000,0.007432,0.008169,0.000386,0.000446,0.016871,0.000417,0.000227,0.000183,0.000159,0.001583,0.012596,0.000622,0.002580,0.000028,0.000024,0.000029,0.002940,0.000018,0.000007,0.004653,0.000006,0.003052
3000.000000,0.010847,0.011442,0.000483,0.000521,0.023965,0.000507,0.000208,0.000210,0.000403,0.002266,0.018572,0.000768,0.003824,0.000033,0.000026,0.000032,0.004164,0.000018,0.000008,0.006772,0.000007,0.004583
3500.000000,0.015533,0.017415,0.000561,0.000626,0.035132,0.000589,0.000312,0.000259,0.000264,0.002823,0.025425,0.000837,0.005092,0.000033,0.000017,0.000044,0.005600,0.000045,0.000009,0.010863,0.000008,0.007284
4000.000000,0.021809,0.026558,0.001117,0.000676,0.051988,0.000751,0.000443,0.000425,0.000454,0.003490,0.034747,0.001006,0.006699,0.000046,0.000037,0.000054,0.007451,0.000062,0.000010,0.013409,0.000011,0.010231
4500.000000,0.026352,0.028079,0.000760,0.000767,0.057451,0.001078,0.000326,0.000459,0.000388,0.004401,0.044538,0.001162,0.008406,0.000049,0.000024,0.000048,0.009300,0.000058,0.000012,0.018087,0.000013,0.012891
5000.000000,0.031336,0.035523,0.000885,0.000856,0.070443,0.000935,0.000283,0.000444,0.000337,0.005397,0.055301,0.001351,0.010899,0.000074,0.000045,0.000054,0.011859,0.000035,0.000012,0.023242,0.000013,0.017497
5500.000000,0.038411,0.043726,0.000956,0.000978,0.084601,0.001012,0.000335,0.000486,0.000391,0.006414,0.070543,0.001482,0.012536,0.000062,0.000051,0.000058,0.014617,0.000040,0.000014,0.029198,0.000014,0.022211
6000.000000,0.046270,0.051615,0.001249,0.001045,0.101731,0.001112,0.000392,0.000516,0.000521,0.007491,0.079627,0.001557,0.014765,0.000124,0.000056,0.000062,0.016723,0.000036,0.000015,0.037046,0.000016,0.027032
6500.000000,0.054737,0.060588,0.001155,0.001119,0.114726,0.001236,0.000435,0.000573,0.000488,0.008904,0.096239,0.001855,0.019386,0.000109,0.000039,0.000071,0.017842,0.000059,0.000018,0.043431,0.000018,0.033746
7000.000000,0.062542,0.071895,0.001245,0.001246,0.135932,0.001322,0.000588,0.000569,0.000494,0.010400,0.111135,0.001935,0.020218,0.000081,0.000046,0.000077,0.021993,0.000091,0.000015,0.052192,0.000017,0.038864
7500.000000,0.071645,0.083015,0.001338,0.001309,0.151341,0.001492,0.000470,0.000793,0.000706,0.011612,0.126554,0.002110,0.024082,0.000205,0.000040,0.000074,0.026052,0.000151,0.000018,0.061089,0.000020,0.047176
8000.000000,0.081572,0.093986,0.001448,0.001698,0.171176,0.001571,0.000570,0.000716,0.000730,0.013613,0.142229,0.002278,0.027594,0.000151,0.000042,0.000097,0.029611,0.000119,0.000020,0.072030,0.000015,0.057369
8500.000000,0.092942,0.109611,0.001560,0.001538,0.193004,0.001641,0.000571,0.000626,0.000705,0.015293,0.163880,0.002429,0.031033,0.000186,0.000045,0.000091,0.031695,0.000111,0.000021,0.082550,0.000017,0.064256
9000.000000,0.104798,0.120878,0.001678,0.001548,0.220800,0.001827,0.000608,0.000603,0.000564,0.017162,0.184459,0.002585,0.036426,0.000205,0.000048,0.000093,0.037405,0.000092,0.000031,0.103587,0.000016,0.076524
9500.000000,0.118033,0.134435,0.001859,0.001699,0.232205,0.001923,0.000667,0.000613,0.000753,0.018667,0.200960,0.002702,0.038431,0.000111,0.000049,0.000100,0.044079,0.000112,0.000025,0.112483,0.000016,0.084322
9999.000000,0.129494,0.151930,0.001862,0.001756,0.258614,0.002016,0.000648,0.000812,0.000745,0.020838,0.224993,0.002924,0.040261,0.000110,0.000054,0.000105,0.047778,0.000239,0.000023,0.120396,0.000015,0.098679
