N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
500.000000,0.000331,0.000323,0.000071,0.000100,0.000546,0.000060,0.000038,0.000048,0.000043,0.000150,0.000490,0.000085,0.000128,0.016404,0.000005,0.000005,0.000131,0.000003,0.000002,0.000102,0.000001,0.000079
1000.000000,0.001244,0.001293,0.000155,0.000231,0.002395,0.000133,0.000083,0.000113,0.000108,0.000423,0.001729,0.000202,0.000459,0.091227,0.000011,0.000010,0.000475,0.000006,0.000003,0.000494,0.000003,0.000329
1500.000000,0.002748,0.002845,0.000228,0.000365,0.005757,0.000227,0.000103,0.000118,0.000141,0.000771,0.004228,0.000317,0.000981,0.279374,0.000018,0.000017,0.001056,0.000012,0.000004,0.001495,0.000004,0.000912
2000.000000,0.005371,0.004912,0.000315,0.000465,0.011069,0.000298,0.000166,0.000164,0.000172,0.001148,0.007917,0.000422,0.001766,0.637002,0.000021,0.000018,0.001915,0.000018,0.000012,0.002814,0.000004,0.001832
2500.000000,0.008769,0.008175,0.000446,0.000576,0.017238,0.000407,0.000183,0.000179,0.000229,0.001642,0.013007,0.000612,0.002641,1.241396,0.000023,0.000023,0.003388,0.000016,0.000006,0.004651,0.000007,0.004880
3000.000000,0.010757,0.011910,0.000490,0.000702,0.026044,0.000518,0.000287,0.000199,0.000248,0.002238,0.019032,0.000749,0.003768,2.107136,0.000029,0.000029,0.004317,0.000051,0.000008,0.006854,0.000007,0.004351
3500.000000,0.015705,0.017554,0.000606,0.000839,0.035639,0.000611,0.000257,0.000276,0.000377,0.002881,0.026011,0.000859,0.005081,3.282648,0.000042,0.000035,0.005721,0.000051,0.000009,0.011855,0.000016,0.005862
4000.000000,0.019660,0.021492,0.000656,0.000933,0.048358,0.000796,0.000318,0.000297,0.000293,0.003557,0.035367,0.001053,0.006984,5.011796,0.000036,0.000037,0.007557,0.000056,0.000009,0.013551,0.000009,0.008334
4500.000000,0.025431,0.028300,0.000771,0.001035,0.072217,0.001168,0.000291,0.000347,0.000426,0.004485,0.047690,0.002846,0.008618,7.011040,0.000037,0.000040,0.009204,0.000036,0.000010,0.017666,0.000011,0.011008
5000.000000,0.033606,0.035893,0.000869,0.001167,0.077997,0.001017,0.000317,0.000335,0.000410,0.005392,0.057383,0.001351,0.010876,9.317818,0.000051,0.000272,0.011320,0.000044,0.000040,0.023203,0.000019,0.014230
5500.000000,0.037736,0.043179,0.000958,0.001621,0.094031,0.001138,0.000397,0.000287,0.000447,0.006180,0.068177,0.001470,0.012878,12.336363,0.000060,0.000051,0.012705,0.000048,0.000013,0.029742,0.000018,0.018351
6000.000000,0.046041,0.051009,0.001041,0.001393,0.112796,0.001213,0.000394,0.000488,0.000435,0.007535,0.084057,0.001600,0.014699,16.030800,0.000064,0.000061,0.018013,0.000110,0.000014,0.039547,0.000022,0.022555
6500.000000,0.053512,0.060403,0.001145,0.001516,0.136126,0.001548,0.000484,0.000400,0.000420,0.008559,0.102187,0.001837,0.018002,20.550579,0.000039,0.000058,0.019267,0.000145,0.000015,0.044531,0.000024,0.028083
7000.000000,0.061843,0.071050,0.001236,0.001632,0.154855,0.001442,0.000562,0.000684,0.000742,0.010012,0.120366,0.001971,0.020109,26.365134,0.000055,0.000071,0.022876,0.000205,0.000017,0.056830,0.000024,0.033372
7500.000000,0.071499,0.089298,0.001675,0.002157,0.185193,0.001829,0.000677,0.000449,0.000545,0.011287,0.141934,0.002415,0.024233,32.674629,0.000044,0.000077,0.026376,0.000121,0.000018,0.066675,0.000021,0.040063
8000.000000,0.085955,0.093608,0.001453,0.001854,0.209307,0.001705,0.000697,0.000656,0.000503,0.012615,0.159783,0.002379,0.026649,39.978558,0.000045,0.000080,0.028874,0.000114,0.000019,0.078002,0.000030,0.044078
8500.000000,0.093028,0.109069,0.001543,0.002102,0.232648,0.001841,0.000565,0.000552,0.000607,0.013993,0.179193,0.002514,0.031271,48.441332,0.000056,0.000086,0.032925,0.000117,0.000020,0.086345,0.000030,0.050381
9000.000000,0.104599,0.125058,0.001655,0.002133,0.258101,0.001849,0.000607,0.000466,0.000856,0.015911,0.200235,0.002612,0.033331,58.223911,0.000053,0.000091,0.034948,0.000147,0.000020,0.099858,0.000028,0.058194
9500.000000,0.118313,0.134559,0.001846,0.002263,0.301646,0.002345,0.000682,0.000898,0.000848,0.017846,0.222112,0.002958,0.038751,69.632574,0.000059,0.000089,0.040930,0.000230,0.000022,0.113098,0.000037,0.067370
10000.000000,0.128681,0.151886,0.001912,0.002697,0.324268,0.002527,0.000738,0.000708,0.000865,0.019665,0.245953,0.003168,0.040962,82.271572,0.000057,0.000103,0.044270,0.000135,0.000024,0.130347,0.000038,0.076420
10500.000000,0.142028,0.163046,0.001950,0.002614,0.361278,0.002631,0.000697,0.000608,0.000725,0.020843,0.271274,0.003363,0.045001,93.405326,0.000165,0.000114,0.048248,0.000165,0.000024,0.146939,0.000034,0.085110
11000.000000,0.153536,0.177392,0.002260,0.016095,0.396526,0.002571,0.000744,0.000560,0.001014,0.024886,0.297040,0.003530,0.049891,109.841965,0.000091,0.000108,0.055510,0.000203,0.000024,0.164008,0.000035,0.089889
