N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
100.000000,0.000016,0.000017,0.000010,0.000017,0.000025,0.000010,0.000017,0.000017,0.000016,0.000018,0.000021,0.000015,0.000008,0.000583,0.000001,0.000001,0.000008,0.000000,0.000001,0.000005,0.000001,0.000004
200.000000,0.000053,0.000056,0.000028,0.000036,0.000093,0.000021,0.000025,0.000020,0.000025,0.000038,0.000071,0.000032,0.000021,0.002293,0.000002,0.000003,0.000021,0.000001,0.000001,0.000017,0.000001,0.000013
300.000000,0.000123,0.000123,0.000043,0.000052,0.000183,0.000032,0.000045,0.000036,0.000030,0.000069,0.000150,0.000049,0.000044,0.005680,0.000004,0.000004,0.000046,0.000002,0.000001,0.000066,0.000001,0.000029
400.000000,0.000217,0.000206,0.000061,0.000072,0.000379,0.000048,0.000050,0.000052,0.000093,0.000103,0.000278,0.000071,0.000076,0.010870,0.000005,0.000005,0.000078,0.000010,0.000001,0.000088,0.000000,0.000046
500.000000,0.000312,0.000325,0.000071,0.000089,0.000565,0.000060,0.000033,0.000057,0.000050,0.000129,0.000413,0.000088,0.000115,0.017956,0.000007,0.000005,0.000128,0.000004,0.000001,0.000105,0.000001,0.000079
600.000000,0.000485,0.000453,0.000096,0.000108,0.000853,0.000072,0.000062,0.000067,0.000085,0.000170,0.000620,0.000114,0.000163,0.028064,0.000007,0.000006,0.000169,0.000004,0.000001,0.000165,0.000002,0.000106
700.000000,0.000591,0.000664,0.000094,0.000126,0.001125,0.000090,0.000078,0.000073,0.000082,0.000210,0.000844,0.000137,0.000221,0.040151,0.000009,0.000007,0.000230,0.000005,0.000002,0.000207,0.000002,0.000144
800.000000,0.000769,0.000795,0.000111,0.000142,0.001518,0.000148,0.000092,0.000087,0.000141,0.000245,0.001106,0.000149,0.000305,0.056296,0.000010,0.000008,0.000301,0.000009,0.000002,0.000298,0.000002,0.000198
900.000000,0.000960,0.001024,0.000128,0.000173,0.001965,0.000120,0.000084,0.000116,0.000109,0.000305,0.001490,0.000174,0.000372,0.079435,0.000010,0.000009,0.000381,0.000008,0.000002,0.000389,0.000003,0.000254
1000.000000,0.001209,0.001317,0.000140,0.000180,0.002400,0.000143,0.000065,0.000097,0.000104,0.000379,0.001889,0.000215,0.000470,0.096669,0.000012,0.000010,0.000468,0.000006,0.000002,0.000513,0.000004,0.000341
1100.000000,0.001489,0.001680,0.000155,0.000195,0.002884,0.000154,0.000089,0.000125,0.000105,0.000410,0.002166,0.000215,0.000615,0.124844,0.000015,0.000010,0.000560,0.000008,0.000003,0.000723,0.000004,0.000439
1200.000000,0.001723,0.001820,0.000178,0.000223,0.003613,0.000175,0.000082,0.000119,0.000101,0.000474,0.002721,0.000255,0.000660,0.155729,0.000013,0.000012,0.000677,0.000010,0.000003,0.000849,0.000004,0.000565
1300.000000,0.002002,0.002120,0.000192,0.000237,0.004176,0.000182,0.000100,0.000108,0.000101,0.000513,0.003140,0.000282,0.000762,0.191539,0.000013,0.000013,0.000795,0.000015,0.000004,0.001090,0.000004,0.000740
1400.000000,0.002278,0.002590,0.000204,0.000258,0.004868,0.000199,0.000124,0.000137,0.000118,0.000575,0.003558,0.000323,0.000916,0.234661,0.000017,0.000016,0.000917,0.000011,0.000004,0.001280,0.000005,0.000816
1500.000000,0.002724,0.002927,0.000238,0.000273,0.006145,0.000255,0.000193,0.000149,0.000237,0.000637,0.004264,0.000346,0.000992,0.284650,0.000017,0.000017,0.001056,0.000017,0.000005,0.001483,0.000006,0.001021
1600.000000,0.003070,0.003666,0.000241,0.000556,0.006631,0.000267,0.000160,0.000176,0.000160,0.000718,0.004965,0.000354,0.001111,0.343847,0.000018,0.000017,0.001201,0.000018,0.000004,0.001734,0.000007,0.001173
1700.000000,0.003400,0.003665,0.000260,0.000304,0.007441,0.000261,0.000194,0.000180,0.000153,0.000792,0.008295,0.000383,0.001293,0.407560,0.000022,0.000018,0.001369,0.000020,0.000005,0.002112,0.000005,0.001308
1800.000000,0.003749,0.004007,0.000273,0.000316,0.008486,0.000271,0.000242,0.000230,0.000240,0.000898,0.006266,0.000399,0.001430,0.486661,0.000018,0.000017,0.001528,0.000017,0.000004,0.002353,0.000006,0.001452
1900.000000,0.004111,0.004426,0.000390,0.000326,0.009552,0.000306,0.000148,0.000154,0.000142,0.000987,0.007081,0.000422,0.001578,0.556230,0.000020,0.000018,0.001663,0.000018,0.000005,0.002693,0.000005,0.001751
2000.000000,0.004598,0.004892,0.000307,0.000350,0.010718,0.000328,0.000158,0.000165,0.000159,0.001037,0.008047,0.000465,0.001836,0.642686,0.000019,0.000019,0.001890,0.000029,0.000005,0.002983,0.000012,0.001889
2100.000000,0.005148,0.005417,0.000358,0.000380,0.011400,0.000349,0.000159,0.000227,0.000181,0.001160,0.008494,0.000572,0.001906,0.766475,0.000026,0.000022,0.002053,0.000024,0.000009,0.003310,0.000006,0.002200
2200.000000,0.005708,0.006191,0.000342,0.000366,0.012464,0.000369,0.000166,0.000172,0.000192,0.001264,0.009702,0.000519,0.002169,0.859400,0.000028,0.000023,0.002253,0.000017,0.000005,0.003728,0.000008,0.002336
2300.000000,0.006364,0.007058,0.000377,0.000400,0.013669,0.000384,0.000209,0.000179,0.000152,0.001317,0.010623,0.000578,0.002345,0.975813,0.000026,0.000024,0.002463,0.000020,0.000009,0.004111,0.000007,0.002661
2400.000000,0.007159,0.007818,0.000379,0.000420,0.015272,0.000413,0.000201,0.000356,0.000298,0.001421,0.011358,0.000602,0.002551,1.120678,0.000058,0.000056,0.002506,0.000118,0.000013,0.004689,0.000010,0.002916
